unique_id,ds,Theta,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
RUS_australia,2024-01-01,,4.15,RUS,Mercedes,1.0,1,0.2659681162628188
LEC_australia,2025-01-01,,6.1,LEC,Ferrari,4.0,2,0.12310228117001877
PIA_australia,2022-01-01,,6.75,PIA,McLaren,5.0,3,0.10053521826801422
NOR_australia,2024-01-01,,7.4,NOR,McLaren,6.0,4,0.08364930391410515
HAM_australia,2025-01-01,,8.05,HAM,Ferrari,7.0,5,0.07068609825757335
LIN_australia,2022-01-01,,8.7,LIN,Racing Bulls,8.0,6,0.060518376038266604
SAI_australia,2025-01-01,,10.0,SAI,Williams,,7,0.04580635882336398
STR_australia,2025-01-01,,10.0,STR,Aston Martin,,8,0.04580635882336398
HUL_australia,2024-01-01,,10.65,HUL,Audi,11.0,9,0.04038560146652029
OCO_australia,2024-01-01,,11.950000000000001,OCO,Haas,13.0,10,0.03207672052195443
GAS_australia,2025-01-01,,12.6,GAS,Alpine,14.0,11,0.028852581773345917
ALB_australia,2024-01-01,,13.25,ALB,Williams,15.0,12,0.02609119762099764
ALO_australia,2024-01-01,,14.55,ALO,Aston Martin,17.0,13,0.021637136464313828
PER_australia,2024-01-01,,15.200000000000001,PER,Cadillac,18.0,14,0.01982615946302111
BOT_australia,2024-01-01,,15.85,BOT,Cadillac,19.0,15,0.018233382289947746
VER_australia,2025-01-01,,16.5,VER,Red Bull Racing,20.0,16,0.01682510884237428
