unique_id,predicted_position,driver_code,constructor,grid_position,predicted_rank,win_probability
LEC_belgium,6.199999999999999,LEC,Ferrari,3,1,0.08336177356686568
VER_belgium,6.692307692307692,VER,Red Bull Racing,4,2,0.07722941321252154
NOR_belgium,6.833333333333333,NOR,McLaren,1,3,0.07563556040700983
ALB_belgium,8.08,ALB,Williams,5,4,0.06396571734091178
PIA_belgium,8.299999999999999,PIA,McLaren,2,5,0.06227024049573099
HAM_belgium,9.146666666666667,HAM,Ferrari,14,6,0.05650615846733606
OCO_belgium,9.1625,OCO,Haas,11,7,0.05640851253637841
RUS_belgium,9.799999999999999,RUS,Mercedes,7,8,0.05273908123618033
GAS_belgium,10.4,GAS,Alpine,13,9,0.04969644193409299
TSU_belgium,11.25,TSU,Red Bull Racing,6,10,0.04594159965462819
