unique_id,predicted_position,driver_code,constructor,predicted_rank,win_probability
HAM_monaco,4.5,HAM,Ferrari,1,0.10654581421712103
PIA_monaco,6.0,PIA,McLaren,2,0.07990936066284078
SAI_monaco,6.111111111111111,SAI,Williams,3,0.07845646319624368
NOR_monaco,6.6,NOR,McLaren,4,0.07264487332985525
GAS_monaco,7.666666666666667,GAS,Alpine,5,0.06253776051874496
ALO_monaco,8.25,ALO,Aston Martin,6,0.058115898663884204
VER_monaco,8.5,VER,Red Bull Racing,7,0.05640660752671114
RUS_monaco,8.8,RUS,Mercedes,8,0.05448365499739144
OCO_monaco,9.833333333333334,OCO,Haas,9,0.048758253963767255
LEC_monaco,11.5,LEC,Ferrari,10,0.04169184034582997
